numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
1;SP;2020-2S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;31;Procedente;5;Detrator;0
2;BA;2021-1S;Promotor;FAIXA 2;42;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;1;Promotor;2
3;CE;2021-2S;Promotor;FAIXA 3;44;1;1;Solteiro(a);Superior Completo;23;AMBOS TIPOS;5;Promotor;2
4;BA;2021-2S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;24;Procedente;3;Promotor;2
5;BA;2021-1S;Promotor;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;0;Detrator;0
6;BA;2021-1S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;26;AMBOS TIPOS;1;Promotor;2
7;BA;2021-2S;Detrator;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;22;AMBOS TIPOS;2;Promotor;2
8;BA;2021-2S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
9;BA;2021-1S;Detrator;FAIXA 1;51;1;1;Solteiro(a);Médio Completo;26;Procedente;2;Promotor;2
10;BA;2021-1S;Detrator;FAIXA 2;34;1;1;Solteiro(a);Médio Completo;26;Não Solicitou;4;Promotor;2
11;BA;2022-1S;Detrator;FAIXA 1;42;1;1;Solteiro(a);Médio Completo;18;Procedente;1;Detrator;0
12;CE;2022-1S;Neutro;FAIXA 2;38;1;1;Divorciado(a);Médio Completo;19;AMBOS TIPOS;5;Detrator;0
1;SP;2020-2S;Neutro;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;31;Procedente;5;Detrator;0
2;BA;2021-1S;Promotor;FAIXA 2;42;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;1;Promotor;2
3;CE;2021-2S;Promotor;FAIXA 3;44;1;1;Solteiro(a);Superior Completo;23;AMBOS TIPOS;5;Promotor;2
4;BA;2021-2S;Promotor;FAIXA 1;33;0;0;Solteiro(a);Médio Completo;24;Procedente;3;Promotor;2
5;BA;2021-1S;Promotor;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;26;Não Solicitou;0;Detrator;0
6;BA;2021-1S;Promotor;FAIXA 1;40;1;1;Solteiro(a);Médio Completo;26;AMBOS TIPOS;1;Promotor;2
7;BA;2021-2S;Detrator;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;22;AMBOS TIPOS;2;Neutro;1
8;BA;2021-2S;Neutro;FAIXA 1;29;0;0;Solteiro(a);Superior Completo;24;Não Solicitou;0;Neutro;1
9;BA;2021-1S;Detrator;FAIXA 1;51;1;1;Solteiro(a);Médio Completo;26;Procedente;2;Promotor;2
10;BA;2021-1S;Detrator;FAIXA 2;34;1;1;Solteiro(a);Médio Completo;26;Não Solicitou;4;Promotor;2
11;BA;2022-1S;Detrator;FAIXA 1;42;1;1;Solteiro(a);Médio Completo;18;Procedente;1;Detrator;0
12;CE;2022-1S;Neutro;FAIXA 2;38;1;1;Divorciado(a);Médio Completo;19;AMBOS TIPOS;5;Detrator;0
13;BA;2022-1S;Detrator;FAIXA 1;29;1;1;Solteiro(a);Médio Completo;18;Improcedente;0;Detrator;0
